,collsci,collsci2,tpyamtw,tot,pct
1,ACETES SPP.,ACETES SP,3439.641,404037.8449,0.85131654
2,ACTEOCINA CANALICULATA,GASTROPODA,0.0096,404037.8449,2.38E-06
3,ACTINOPTERYGII,OSTEICHTHYES,4796.1434,404037.8449,1.18705301
4,ACTINOPTERYGII (LARVAL),FISH LARVAE,2.2738,404037.8449,0.000562769
5,AEGININA LONGICORNIS,CAPRELLIDAE,0.017,404037.8449,4.21E-06
6,ALCYONIDIUM SPP.,BRYOZOA,0.3369,404037.8449,8.34E-05
7,ALOSA AESTIVALIS,ALOSA AESTIVALIS,38.177,404037.8449,0.009448867
8,ALOSA SP,ALOSA SP,356.4,404037.8449,0.088209559
9,AMMODYTES SP,AMMODYTES SP,5487.59,404037.8449,1.358187128
10,AMMODYTES SPP.,AMMODYTES SP,79.1981,404037.8449,0.019601654
11,AMPELISCA SPP.,GAMMARIDEA,9.6823,404037.8449,0.002396384
12,AMPHIPODA,AMPHIPODA,400.38,404037.8449,0.099094678
13,AMPHIPODA SPP.,AMPHIPODA,2.9703,404037.8449,0.000735154
14,ANADARA OVALIS,BIVALVIA,1.119,404037.8449,0.000276954
15,ANCHOA HEPSETUS,ANCHOA HEPSETUS,23570.2258,404037.8449,5.833667835
16,ANCHOA MITCHILLI,ANCHOA MITCHILLI,50839.00772,404037.8449,12.58273411
17,ANCHOA SP,ANCHOA SP,1322.88,404037.8449,0.327414874
18,ANCHOA SPP.,ANCHOA SP,130.853,404037.8449,0.032386323
19,ANCINUS DEPRESSUS,ISOPODA,0.004,404037.8449,9.90E-07
20,ANIMAL REMAINS,ANIMAL REMAINS,9827.87,404037.8449,2.432413232
21,ANIMAL TUBES,ANIMAL TUBES,0.6252,404037.8449,0.000154738
22,ANTHOZOA,ANTHOZOA,0.46,404037.8449,0.000113851
23,ARABELLA IRICOLOR,POLYCHAETA,0.018,404037.8449,4.46E-06
24,ARGULUS SPP.,ARGULUS SP,0.006,404037.8449,1.49E-06
25,ARIOMMA BONDI,ARIOMMA BONDI,170.5,404037.8449,0.042199017
26,ARTHROPODA,ARTHROPODA,1,404037.8449,0.000247502
27,ARTIFICIAL,MISCELLANEOUS,1.568,404037.8449,0.000388082
28,ATHERINIDAE,ATHERINIDAE,99,404037.8449,0.024502655
29,AXIUS SERRATUS,AXIUS SERRATUS,0.034,404037.8449,8.42E-06
30,BAIRDIELLA CHRYSOURA,BAIRDIELLA CHRYSOURA,1652.1113,404037.8449,0.408900137
31,BIVALVIA,BIVALVIA,53.1473,404037.8449,0.01315404
32,BOTHIDAE,BOTHIDAE,469.48,404037.8449,0.116197036
33,BRANCHIOSTOMA SPP.,CEPHALOCHORDATA,1.337,404037.8449,0.00033091
34,BREVOORTIA TYRANNUS,BREVOORTIA TYRANNUS,4234.9706,404037.8449,1.048161862
35,CALANOID COPEPOD,COPEPODA,3.38263,404037.8449,0.000837206
36,CALLIANASSIDAE,CALLIANASSIDAE,0.403,404037.8449,9.97E-05
37,CALLINECTES SAPIDUS,CALLINECTES SAPIDUS,476.0072,404037.8449,0.117812528
38,"CALLINECTES SAPIDUS, JUV FEM",CALLINECTES SAPIDUS,0.408,404037.8449,0.000100981
39,"CALLINECTES SAPIDUS, MALE",CALLINECTES SAPIDUS,1.771,404037.8449,0.000438325
40,CALLINECTES SPP.,CALLINECTES SP,1.5227,404037.8449,0.000376871
41,CANCER IRRORATUS,CANCER IRRORATUS,1.038,404037.8449,0.000256907
42,CANCER SPP.,CANCER SP,0.6241,404037.8449,0.000154466
43,CANCRIDAE,CANCER SP,271.37,404037.8449,0.0671645
44,CAPRELLA EQUILIBRA,CAPRELLIDAE,0.006,404037.8449,1.49E-06
45,CAPRELLA PENANTIS,CAPRELLIDAE,0.2264,404037.8449,5.60E-05
46,CAPRELLIDAE,CAPRELLIDAE,18.18,404037.8449,0.004499578
47,CAPRELLIDAE SPP,CAPRELLIDAE,0.048,404037.8449,1.19E-05
48,CARANX HIPPOS,CARANX HIPPOS,682.88,404037.8449,0.169013871
49,CASCO BIGELOWI,GAMMARIDEA,0.032,404037.8449,7.92E-06
50,CENTROPRISTIS STRIATA,CENTROPRISTIS STRIATA,1158.8542,404037.8449,0.286818231
51,CEPHALOPODA,CEPHALOPODA,6539.013,404037.8449,1.618415968
52,CERAPUS TUBULARIS,GAMMARIDEA,0.014,404037.8449,3.47E-06
53,CHAETOPTERUS VARIOPEDATUS,POLYCHAETA,1.537,404037.8449,0.00038041
54,CHIRIDOTEA SPP.,ISOPODA,7.00E-04,404037.8449,1.73E-07
55,CHONDRICHTHYES,CHONDRICHTHYES,32.7,404037.8449,0.008093301
56,CITHARICHTHYS ARCTIFRONS,CITHARICHTHYS ARCTIFRONS,253.45,404037.8449,0.062729272
57,CLIONE LIMACINA,CLIONE LIMACINA,0.004,404037.8449,9.90E-07
58,CLUPEA HARENGUS,CLUPEA HARENGUS,8367.15,404037.8449,2.070882742
59,CLUPEIDAE,CLUPEIDAE,1328.9726,404037.8449,0.328922802
60,CLYMENELLA ZONALIS,POLYCHAETA,1.3831,404037.8449,0.000342319
61,CNIDARIA,CNIDARIA,0.331,404037.8449,8.19E-05
62,COPEPODA,COPEPODA,427.7406,404037.8449,0.105866469
63,COROPHIUM SPP.,GAMMARIDEA,0.0764,404037.8449,1.89E-05
64,COTTIDAE,COTTIDAE,2.47,404037.8449,0.000611329
65,CRAB PARTS,DECAPODA CRAB,1.743,404037.8449,0.000431395
66,CRANGON SEPTEMSPINOSA,CRANGON SEPTEMSPINOSA,315.2651,404037.8449,0.078028606
67,CRANGONIDAE,CRANGONIDAE,3456.74,404037.8449,0.855548569
68,CRUSTACEA,CRUSTACEA,1140.7373,404037.8449,0.28233427
69,CRUSTACEA (PARTS),CRUSTACEA,9.5224,404037.8449,0.002356809
70,CRUSTACEAN LARVAE,CRUSTACEA LARVAE,0,404037.8449,0
71,CRUSTACEAN SHRIMP,CRUSTACEAN SHRIMP,3656.37,404037.8449,0.904957307
72,CUMACEA,CUMACEA,1.359,404037.8449,0.000336355
73,CYATHURA POLITA,ISOPODA,0.0084,404037.8449,2.08E-06
74,CYCLOPTERIDAE,CYCLOPTERIDAE,6.72,404037.8449,0.001663211
75,CYMOTHOIDAE,ISOPODA,0.575,404037.8449,0.000142313
76,CYNOSCION REGALIS,CYNOSCION REGALIS,11941.5127,404037.8449,2.955543113
77,DECAPODA,DECAPODA,222.7223,404037.8449,0.055124118
78,DECAPODA (MEGALOPE),DECAPODA LARVAE,1.6719,404037.8449,0.000413798
79,DECAPODA CRAB,DECAPODA CRAB,1515.97,404037.8449,0.375204951
80,DECAPODA LARVAE,DECAPODA LARVAE,27.99,404037.8449,0.006927569
81,DECAPODA SHRIMP,DECAPODA SHRIMP,801.73,404037.8449,0.198429432
82,DECAPTERUS MACARELLUS,DECAPTERUS MACARELLUS,148.5,404037.8449,0.036753983
83,DETRITUS,DETRITUS,0.081,404037.8449,2.00E-05
84,DIASTYLIDAE,CUMACEA,0,404037.8449,0
85,DICHELOPANDALUS LEPTOCERUS,DICHELOPANDALUS LEPTOCERUS,0.583,404037.8449,0.000144293
86,DORIDELLA OBSCURA,NUDIBRANCHIA,0.138,404037.8449,3.42E-05
87,ECTOPROCTA,BRYOZOA,0.015,404037.8449,3.71E-06
88,EDOTIA SPP.,ISOPODA,0.1092,404037.8449,2.70E-05
89,EDOTIA TRILOBA,ISOPODA,0.1918,404037.8449,4.75E-05
90,ELASMOBRANCHII,ELASMOBRANCHII,0.0815,404037.8449,2.02E-05
91,EMERITA TALPOIDA,EMERITA TALPOIDA,0.0018,404037.8449,4.46E-07
92,EMPTY,EMPTY,0,404037.8449,0
93,ENGRAULIDAE,ENGRAULIDAE,60229.436,404037.8449,14.90687983
94,ENGRAULIS EURYSTOLE,ENGRAULIS EURYSTOLE,2272.8662,404037.8449,0.562537948
95,ENSIS DIRECTUS,ENSIS DIRECTUS,1.4892,404037.8449,0.000368579
96,ERICHSONELLA ATTENUATA,ISOPODA,0.0058,404037.8449,1.44E-06
97,ERICHTHONIUS BRASILIENSIS,GAMMARIDEA,0.0042,404037.8449,1.04E-06
98,ETEONE SPP.,POLYCHAETA,0.038,404037.8449,9.41E-06
99,ETROPUS MICROSTOMUS,ETROPUS MICROSTOMUS,40.0871,404037.8449,0.00992162
100,ETROPUS SPP.,ETROPUS SP,0.818,404037.8449,0.000202456
101,ETRUMEUS TERES,ETRUMEUS TERES,7427.16,404037.8449,1.838233743
102,EUCERAMUS PRAELONGUS,DECAPODA CRAB,0.0072,404037.8449,1.78E-06
103,EUPHAUSIACEA,EUPHAUSIACEA,1606.23,404037.8449,0.397544443
104,FARFANTEPENAEUS AZTECUS,PENAEIDAE,0.499,404037.8449,0.000123503
105,FARFANTEPENAEUS DUORARUM,PENAEIDAE,0.02,404037.8449,4.95E-06
106,FISH LARVAE,FISH LARVAE,271.87,404037.8449,0.067288251
107,FISH OTOLITHS,OSTEICHTHYES,4.84,404037.8449,0.001197908
108,FISH SCALES,OSTEICHTHYES,15.5394,404037.8449,0.003846026
109,GADIDAE,GADIDAE,7138.45,404037.8449,1.766777566
110,GAMMARIDEA,GAMMARIDEA,10870.65,404037.8449,2.690502916
111,GAMMARUS MUCRONATUS,GAMMARIDEA,0.021,404037.8449,5.20E-06
112,GAMMARUS SPP.,GAMMARIDEA,7.4567,404037.8449,0.001845545
113,GASTROPODA,GASTROPODA,0.188,404037.8449,4.65E-05
114,GILVOSSIUS SETIMANUS,CALLIANASSIDAE,1.8366,404037.8449,0.000454561
115,GLYCERA AMERICANA,POLYCHAETA,0.028,404037.8449,6.93E-06
116,GLYCERA SPP.,POLYCHAETA,11.5781,404037.8449,0.002865598
117,GOBIIDAE,GOBIIDAE,0.3989,404037.8449,9.87E-05
118,GRAVEL,ROCK,0.001,404037.8449,2.48E-07
119,GYMNOLAEMATA,BRYOZOA,0.153,404037.8449,3.79E-05
120,HARMOTHOE ACANELLAE,POLYCHAETA,0.0791,404037.8449,1.96E-05
121,HIPPOMEDON SERRATUS,GAMMARIDEA,0.018,404037.8449,4.46E-06
122,HIRUDINEA,INVERTEBRATA,0.067,404037.8449,1.66E-05
123,HYMENOPTERA,INSECTA,0.0109,404037.8449,2.70E-06
124,HYPERIIDAE,HYPERIIDAE,184.601,404037.8449,0.045689037
125,INSECTA,INSECTA,0.008,404037.8449,1.98E-06
126,ISOPODA,ISOPODA,243.51,404037.8449,0.060269107
127,ISOPODA SPP.,ISOPODA,0.4957,404037.8449,0.000122687
128,LABIDOCERA AESTIVA,COPEPODA,9.00E-04,404037.8449,2.23E-07
129,LABIDOCERA SPP.,COPEPODA,0.011,404037.8449,2.72E-06
130,LARIMUS FASCIATUS,LARIMUS FASCIATUS,0.73,404037.8449,0.000180676
131,LARVACEANS,LARVACEA,34.32,404037.8449,0.008494254
132,LEIOSTOMUS XANTHURUS,LEIOSTOMUS XANTHURUS,2006.9623,404037.8449,0.496726315
133,LEPTOCHEIRUS PLUMULOSUS,GAMMARIDEA,0.3606,404037.8449,8.92E-05
134,LERNAEENICUS RADIATUS,COPEPODA,0.33,404037.8449,8.17E-05
135,LERNAEENICUS SPP.,COPEPODA,0.006,404037.8449,1.49E-06
136,LIMULUS POLYPHEMUS,LIMULUS POLYPHEMUS,0.286,404037.8449,7.08E-05
137,LISTRIELLA CLYMENELLAE,GAMMARIDEA,0.004,404037.8449,9.90E-07
138,LIVONECA REDMANII,ISOPODA,1.3101,404037.8449,0.000324252
139,LOLIGO PEALEII,LOLIGO SP,273.9501,404037.8449,0.067803079
140,LOLIGO SP,LOLIGO SP,10732.9,404037.8449,2.656409575
141,LOLIGO SPP.,LOLIGO SP,0.337,404037.8449,8.34E-05
142,LOLLIGUNCULA BREVIS,LOLLIGUNCULA BREVIS,50.616,404037.8449,0.012527539
143,LUCIFER FAXONI,DECAPODA SHRIMP,0.103,404037.8449,2.55E-05
144,MACOMA BALTHICA,BIVALVIA,0.217,404037.8449,5.37E-05
145,MACRO ALGAE,MACRO ALGAE,0,404037.8449,0
146,MAUROLICUS MUELLERI,MAUROLICUS MUELLERI,9.43,404037.8449,0.00233394
147,MENIDIA MENIDIA,MENIDIA MENIDIA,454.3,404037.8449,0.112439962
148,MENIDIA SPP.,MENIDIA SP,1.8864,404037.8449,0.000466887
149,MENTICIRRHUS AMERICANUS,MENTICIRRHUS AMERICANUS,5.751,404037.8449,0.001423382
150,MENTICIRRHUS SAXATILIS,MENTICIRRHUS SAXATILIS,321.88,404037.8449,0.079665805
151,MENTICIRRHUS SP,MENTICIRRHUS SP,169.48,404037.8449,0.041946566
152,MENTICIRRHUS SPP.,MENTICIRRHUS SP,62.7197,404037.8449,0.015523224
153,MERLUCCIUS BILINEARIS,MERLUCCIUS BILINEARIS,1674.426,404037.8449,0.41442306
154,MICROPOGONIAS UNDULATUS,MICROPOGONIAS UNDULATUS,2835.7569,404037.8449,0.701854278
155,MICROPROTOPUS RANEYI,GAMMARIDEA,0.009,404037.8449,2.23E-06
156,MISCELLANEOUS,MISCELLANEOUS,70.8,404037.8449,0.017523111
157,MOLGULA MANHATTENSIS,ASCIDIACEA,0.3207,404037.8449,7.94E-05
158,MOLGULA SPP.,ASCIDIACEA,0.5041,404037.8449,0.000124766
159,MOLLUSCA,MOLLUSCA,48.271,404037.8449,0.011947148
160,MONOCULODES EDWARDSI,GAMMARIDEA,4.2004,404037.8449,0.001039606
161,MORONE AMERICANA,MORONE AMERICANA,279.3657,404037.8449,0.069143449
162,MORONE SAXATILIS,MORONE SAXATILIS,8.009,404037.8449,0.00198224
163,MUGIL CUREMA,MUGIL CUREMA,1980,404037.8449,0.490053104
164,MYSIDACEA,MYSIDACEA,7555.25,404037.8449,1.869936219
165,MYSIDAE,MYSIDACEA,214.95483,404037.8449,0.053201657
166,MYSIDOPSIS BIGELOWI,MYSIDACEA,20.3532,404037.8449,0.005037449
167,MYTILUS EDULIS,BIVALVIA,0.405,404037.8449,0.000100238
168,NANNOCALANUS MINOR,COPEPODA,0.045,404037.8449,1.11E-05
169,NANNOSQUILLA GRAYI),STOMATOPODA,0.6583,404037.8449,0.00016293
170,NEANTHES SUCCINEA,POLYCHAETA,2.446,404037.8449,0.000605389
171,NEMATODA,NEMATODA,0.002,404037.8449,4.95E-07
172,NEOMYSIS AMERICANA,MYSIDACEA,524.4463,404037.8449,0.129801281
173,NERDIDIDAE,POLYCHAETA,10.9636,404037.8449,0.002713508
174,NEREIS SPP.,POLYCHAETA,0.0585,404037.8449,1.45E-05
175,NO CATCH,NO CATCH,0,404037.8449,0
176,NO SAMPLE TAKEN,NO SAMPLE TAKEN,0,404037.8449,0
177,NOTHRIA,POLYCHAETA,0.0091,404037.8449,2.25E-06
178,OGYRIDES ALPHAEROSTRIS,DECAPODA SHRIMP,0.3949,404037.8449,9.77E-05
179,OLENCIRA PRAEGUSTATOR,ISOPODA,0.311,404037.8449,7.70E-05
180,OPHELIA DENTICULATA,POLYCHAETA,0.012,404037.8449,2.97E-06
181,OPHIDIIDAE,OPHIDIIDAE,11.44,404037.8449,0.002831418
182,OPHIUROIDEA,OPHIUROIDEA,6.5,404037.8449,0.00160876
183,OPISTHONEMA OGLINUM,OPISTHONEMA OGLINUM,2503.6,404037.8449,0.619644925
184,OPSANUS TAU,OPSANUS TAU,0.834,404037.8449,0.000206416
185,OSTEICHTHYES,OSTEICHTHYES,26306.65,404037.8449,6.510937114
186,OTHER,INVERTEBRATA,278.8,404037.8449,0.069003437
187,OTHER FISH,OSTEICHTHYES,65358.18,404037.8449,16.17625201
188,OVALIPES OCELLATUS,OVALIPES OCELLATUS,0.4482,404037.8449,0.00011093
189,OXYUROSTYLIS SMITHIĀ,CUMACEA,0.0202,404037.8449,5.00E-06
190,PAGUROIDEA,PAGUROIDEA,12.6715,404037.8449,0.003136216
191,PAGURUS SPP.,PAGUROIDEA,0.725,404037.8449,0.000179439
192,PALAEMONETES PUGIO,DECAPODA SHRIMP,0.256,404037.8449,6.34E-05
193,PALAEMONETES SPP.,DECAPODA SHRIMP,0.68,404037.8449,0.000168301
194,PALAEMONETES VULGARIS,DECAPODA SHRIMP,0.199,404037.8449,4.93E-05
195,PANDALIDAE,PANDALIDAE,2361.28,404037.8449,0.584420502
196,PANDALUS SPP.,PANDALIDAE,0.178,404037.8449,4.41E-05
197,PECTINARIA GOULDII,POLYCHAETA,0.326,404037.8449,8.07E-05
198,PENAEIDAE,PENAEIDAE,1194.54,404037.8449,0.295650523
199,PEPRILUS TRIACANTHUS,PEPRILUS TRIACANTHUS,8059.4622,404037.8449,1.994729529
200,PHAENNIDAE,COPEPODA,0.001,404037.8449,2.48E-07
201,PHERUSA AFFINIS,POLYCHAETA,0.106,404037.8449,2.62E-05
202,PINNIXA CHAETOPTERANA,DECAPODA CRAB,0.217,404037.8449,5.37E-05
203,PINNIXA CYLINDRICA,DECAPODA CRAB,0.0069,404037.8449,1.71E-06
204,PINNIXA SPP.,DECAPODA CRAB,0.5545,404037.8449,0.00013724
205,PLANTAE,PLANTAE,0.9438,404037.8449,0.000233592
206,PLATYHELMINTHES,PLATYHELMINTHES,0,404037.8449,0
207,PLEURONECTIFORMES,PLEURONECTIFORMES,13.284,404037.8449,0.003287811
208,POLINICES DUPLICATUS,GASTROPODA,0.13,404037.8449,3.22E-05
209,POLITOLANA CONCHARUM,ISOPODA,0.1925,404037.8449,4.76E-05
210,POLYCHAETA,POLYCHAETA,1077.893,404037.8449,0.266780207
211,POLYONYX GIBBESI,DECAPODA CRAB,2.6369,404037.8449,0.000652637
212,POMATOMUS SALTATRIX,POMATOMUS SALTATRIX,459.0746,404037.8449,0.113621683
213,PORCELLANA SIGSBEIANA,DECAPODA CRAB,0.3556,404037.8449,8.80E-05
214,PORIFERA,PORIFERA,0.034,404037.8449,8.42E-06
215,PORTUNIDS,PORTUNIDAE,1.4109,404037.8449,0.0003492
216,PORTUNUS SAYI,PORTUNIDAE,1.782,404037.8449,0.000441048
217,PORTUNUS SPINIMANUS,PORTUNIDAE,0.019,404037.8449,4.70E-06
218,PRAUNUS FLEXUOSUS,MYSIDACEA,0.227,404037.8449,5.62E-05
219,PRIONOTUS CAROLINUS,PRIONOTUS CAROLINUS,850.126,404037.8449,0.210407518
220,PRIONOTUS SP,PRIONOTUS SP,4.51,404037.8449,0.001116232
221,PRIONOTUS SPP.,PRIONOTUS SP,7.5588,404037.8449,0.001870815
222,PSEUDOPLEURONECTES AMERICANUS,PSEUDOPLEURONECTES AMERICANUS,0.347,404037.8449,8.59E-05
223,RICTAXIS PUNCTOSTRIATUS,GASTROPODA,0.088,404037.8449,2.18E-05
224,RIMAPENAEUS CONSTRICTUS,DECAPODA SHRIMP,20.3412,404037.8449,0.005034479
225,ROCK,ROCK,0.289,404037.8449,7.15E-05
226,SAND,SAND,0.2784,404037.8449,6.89E-05
227,SAND TUBES,ANIMAL TUBES,0.001,404037.8449,2.48E-07
228,SARDINELLA AURITA,SARDINELLA AURITA,747.84,404037.8449,0.185091572
229,SCIAENIDAE,SCIAENIDAE,3377.7579,404037.8449,0.836000375
230,SCOMBER SCOMBRUS,SCOMBER SCOMBRUS,0.118,404037.8449,2.92E-05
231,SCOPHTHALMUS AQUOSUS,SCOPHTHALMUS AQUOSUS,2.89,404037.8449,0.00071528
232,SCYPHOZOA,SCYPHOZOA,200.61,404037.8449,0.049651289
233,SELENE SETAPINNIS,SELENE SETAPINNIS,4.8895,404037.8449,0.001210159
234,SEPIOLIDAE,SEPIOLIDAE,120.27,404037.8449,0.029767014
235,SHELL,MOLLUSCA SHELL,0.2592,404037.8449,6.42E-05
236,SOLENOIDEA,SOLENOIDEA,2.0102,404037.8449,0.000497528
237,SPHAEROMA QUADRIDENTATUM,ISOPODA,0.327,404037.8449,8.09E-05
238,SQUILLA EMPUSA,STOMATOPODA,71.2037,404037.8449,0.017623027
239,STENOTOMUS CHRYSOPS,STENOTOMUS CHRYSOPS,14712.2572,404037.8449,3.64130672
240,STOMATOPODA,STOMATOPODA,1297.8695,404037.8449,0.321224736
241,STOMATOPODA (LARVA),STOMATOPODA LARVAE,0.6962,404037.8449,0.000172311
242,SYMPHURUS PLAGIUSA,SYMPHURUS PLAGIUSA,0.667,404037.8449,0.000165084
243,SYMPHURUS SP,SYMPHURUS SP,164.12,404037.8449,0.040619957
244,SYNGNATHUS FUSCUS,SYNGNATHUS FUSCUS,66,404037.8449,0.016335103
245,SYNGNATHUS SPP.,SYNGNATHUS SP,0.6095,404037.8449,0.000150852
246,SYNIDOTEA LAEVIDORSALIS,ISOPODA,0.049,404037.8449,1.21E-05
247,TANAIDACEA,TANAIDACEA,0.025,404037.8449,6.19E-06
248,TELEOSTEI,OSTEICHTHYES,1.455,404037.8449,0.000360115
249,TEUTHIDA,TEUTHIDA,17.5501,404037.8449,0.004343677
250,THALASSINIDEA,THALASSINIDEA,0.2853,404037.8449,7.06E-05
251,TRICHIURUS LEPTURUS,TRICHIURUS LEPTURUS,1.241,404037.8449,0.000307149
252,TRIGLIDAE,TRIGLIDAE,1316.71,404037.8449,0.325887789
253,TURBONILLA SPP.,GASTROPODA,0.008,404037.8449,1.98E-06
254,UNIDENTIFIED ANIMAL,ANIMAL REMAINS,1.3189,404037.8449,0.00032643
255,UNIDENTIFIED MATERIAL,MISCELLANEOUS,50.32973,404037.8449,0.012456687
256,UPOGEBIA AFFINIS,UPOGEBIA AFFINIS,0.7969,404037.8449,0.000197234
257,UROPHYCIS CHUSS,UROPHYCIS CHUSS,94.7307,404037.8449,0.023445997
258,UROPHYCIS REGIA,UROPHYCIS REGIA,3650.5987,404037.8449,0.903528901
259,UROPHYCIS SPP.,UROPHYCIS SP,90.5027,404037.8449,0.02239956
260,WORM,INVERTEBRATA,0.901,404037.8449,0.000222999
261,WORM TUBES,ANIMAL TUBES,0.0637,404037.8449,1.58E-05
262,XANTHIDAE,DECAPODA CRAB,0.035,404037.8449,8.66E-06
263,YOLDIA SPP.,BIVALVIA,0.1389,404037.8449,3.44E-05
264,ZOSTERA MARINA,ZOSTERA MARINA,0.2171,404037.8449,5.37E-05
